Date,Open,High,Low,Close,Adj Close,Volume
2024-03-21,142.669998,143.990005,142.029999,143.179993,142.577087,2401500
2024-03-22,143.300003,143.669998,141.080002,141.160004,140.565598,1847400
2024-03-25,140.149994,141.960007,140.000000,140.550003,139.958176,2376300
2024-03-26,140.919998,141.929993,140.660004,140.830002,140.236984,1729900
2024-03-27,141.820007,144.570007,141.470001,144.509995,143.901489,2593100
2024-03-28,145.600006,149.279999,145.000000,148.889999,148.263046,4039500
2024-04-01,148.850006,148.889999,144.990005,145.300003,144.688171,1638800
2024-04-02,144.500000,144.919998,143.119995,144.410004,143.801910,1924700
2024-04-03,144.100006,144.710007,142.419998,143.270004,142.666718,1949700
2024-04-04,146.759995,147.210007,142.050003,142.130005,141.531525,2419100
2024-04-05,142.110001,143.690002,141.679993,143.520004,142.915665,1567200
2024-04-08,143.779999,145.240005,143.529999,143.919998,143.313980,1717300
2024-04-09,144.119995,144.500000,142.500000,143.520004,142.915665,1354700
2024-04-10,141.160004,141.570007,138.149994,139.940002,139.350739,3041300
2024-04-11,140.119995,141.369995,137.600006,140.339996,139.749054,2153300
2024-04-12,138.179993,139.660004,137.860001,139.619995,139.032074,2530400
2024-04-15,141.800003,142.429993,138.149994,139.179993,138.593933,2862700
2024-04-16,138.300003,138.600006,136.250000,136.410004,135.835602,2206300
2024-04-17,137.750000,138.570007,136.520004,136.770004,136.194092,1762300
2024-04-18,137.990005,143.660004,137.990005,141.630005,141.033630,3001200
2024-04-19,142.259995,145.190002,142.259995,142.910004,142.308228,2530400
2024-04-22,144.100006,147.279999,143.089996,147.250000,146.629959,2875500
2024-04-23,147.080002,149.940002,146.880005,147.899994,147.277206,2503200
2024-04-24,147.139999,149.600006,146.759995,148.869995,148.243134,3961800
2024-04-25,148.339996,149.000000,144.929993,145.970001,145.355347,3757700
2024-04-26,145.160004,148.979996,144.699997,146.210007,145.594345,4328700
2024-04-29,146.830002,147.270004,144.789993,145.500000,144.887329,2169400
2024-04-30,144.369995,145.029999,143.339996,143.429993,142.826035,2038100
2024-05-01,143.000000,143.820007,141.149994,141.639999,141.043579,1948200
2024-05-02,143.190002,143.440002,141.460007,141.809998,141.212860,2105900
2024-05-03,143.179993,143.429993,142.029999,142.410004,141.810333,1638200
2024-05-06,143.429993,144.600006,142.830002,143.330002,142.726471,1493600
2024-05-07,144.190002,144.619995,141.610001,142.559998,141.959702,1927000
2024-05-08,142.089996,143.220001,141.520004,142.830002,142.228561,1269000
2024-05-09,142.660004,143.460007,141.940002,142.490005,141.889999,1583100
2024-05-10,142.250000,143.149994,142.020004,142.559998,142.559998,1322500
2024-05-13,143.880005,144.240005,141.910004,142.199997,142.199997,1058400
2024-05-14,143.039993,143.750000,142.139999,143.080002,143.080002,1680200
2024-05-15,144.039993,145.380005,143.539993,144.350006,144.350006,2064800
2024-05-16,144.399994,144.970001,140.410004,141.050003,141.050003,3111200
2024-05-17,142.149994,142.229996,140.850006,141.809998,141.809998,1380000
2024-05-20,141.809998,142.029999,140.100006,140.619995,140.619995,1340700
2024-05-21,140.270004,141.020004,139.949997,140.419998,140.419998,1948200
2024-05-22,139.970001,141.589996,139.229996,139.429993,139.429993,1715500
2024-05-23,139.639999,139.639999,136.210007,137.490005,137.490005,2788700
2024-05-24,138.050003,139.240005,137.440002,137.619995,137.619995,1571500
2024-05-28,137.740005,138.110001,136.229996,136.619995,136.619995,1659900
2024-05-29,134.820007,136.190002,133.699997,135.649994,135.649994,1615900
2024-05-30,136.240005,136.869995,135.119995,136.179993,136.179993,1707000
2024-05-31,136.509995,137.759995,136.220001,137.630005,137.630005,4432500
2024-06-03,137.429993,138.000000,134.889999,137.119995,137.119995,2002600
2024-06-04,135.470001,136.550003,133.710007,134.479996,134.479996,1942700
2024-06-05,134.820007,135.679993,133.539993,135.479996,135.479996,2226500
2024-06-06,136.570007,138.619995,135.869995,136.369995,136.369995,2383900
